merchant_name,merchant_area,latitude,longitude,rating,main_category,sub_category,product,price
"330 Kopi, Ciledug",Tangerang,-6.23812142,106.7168952,3.6,Makanan,Jajanan,Pisang Lumer Coklat,19000
"330 Kopi, Ciledug",Tangerang,-6.23812142,106.7168952,3.6,Makanan,Jajanan,Roti Bakar,22500
"330 Kopi, Ciledug",Tangerang,-6.23812142,106.7168952,3.6,Makanan,Jajanan,Kentang Goreng,22500
"330 Kopi, Ciledug",Tangerang,-6.23812142,106.7168952,3.6,Makanan,Aneka nasi,Paket Ngemil 1,35000
"330 Kopi, Ciledug",Tangerang,-6.23812142,106.7168952,3.6,Makanan,Aneka nasi,Paket Ngemil 2,35000
"330 Kopi, Ciledug",Tangerang,-6.23812142,106.7168952,3.6,Makanan,Aneka nasi,Paket Ngemil 3,35000
"330 Kopi, Ciledug",Tangerang,-6.23812142,106.7168952,3.6,Makanan,Aneka nasi,Paket Mix Bento,37000
"330 Kopi, Ciledug",Tangerang,-6.23812142,106.7168952,3.6,Makanan,Aneka nasi,Paket Bento Shrimp Roll,37000
"330 Kopi, Ciledug",Tangerang,-6.23812142,106.7168952,3.6,Makanan,Aneka nasi,Paket Bento Ebi Furai,37000
"330 Kopi, Ciledug",Tangerang,-6.23812142,106.7168952,3.6,Makanan,Aneka nasi,Paket Bento Ekkado,37000
"330 Kopi, Ciledug",Tangerang,-6.23812142,106.7168952,3.6,Makanan,Aneka nasi,Paket Chicken Teriyaki,37000
"330 Kopi, Ciledug",Tangerang,-6.23812142,106.7168952,3.6,Makanan,Aneka nasi,Paket Chicken Blackpaper,37000
"330 Kopi, Ciledug",Tangerang,-6.23812142,106.7168952,3.6,Makanan,Aneka nasi,Paket Beff Teriyaki,37000
"330 Kopi, Ciledug",Tangerang,-6.23812142,106.7168952,3.6,Makanan,Aneka nasi,Paket Beff Blackpaper,37000
"330 Kopi, Ciledug",Tangerang,-6.23812142,106.7168952,3.6,Makanan,Bakmie,Paket Mie Ayam,25000
"330 Kopi, Ciledug",Tangerang,-6.23812142,106.7168952,3.6,Makanan,Bakmie,Paket Mie Ayam Bakso,27000
"330 Kopi, Ciledug",Tangerang,-6.23812142,106.7168952,3.6,Makanan,Bakmie,Paket Mie Yamin,25000
"330 Kopi, Ciledug",Tangerang,-6.23812142,106.7168952,3.6,Makanan,Bakmie,Paket Mie Yamin Bakso,27000
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,Aneka nasi,Hemat Berdua,70000
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,Aneka nasi,Hemat 1,33000
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,Aneka nasi,Hemat Combo 3,105000
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,Aneka nasi,Hemat Combo 2,100000
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,Aneka nasi,Hemat Combo 1,90000
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,Aneka nasi,Hemat Super 5,165000
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,Barat,Chicken Steak Pops,20000
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,Barat,Sirloin Steak Beef Pops,25000
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,Barat,Tenderloin Steak Beef Pop,25000
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,Barat,Chicken Crispy,25000
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,Barat,Tenderloin Crispy,28000
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,Barat,Sirloin Steak Crispy,28000
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,Barat,Chicken Double,32000
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,Barat,Sirloin Double,42000
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,Barat,Tenderloin Double,42000
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,Barat,Beef Steak,42000
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,Barat,Blackpepper,42000
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,Barat,Chicken Mushroom,33000
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,Barat,Chicken Pepper,32000
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,Barat,Sirloin Import 175 Gram,80000
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,Barat,Rib Eye Import 175 Gram,80000
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,Barat,Chicken Steak Geprek,25000
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,Barat,Sirloin Steak Geprek,30000
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,Barat,Tenderloin Steak Geprek,30000
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,Barat,Steak Cumi,30000
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,Barat,Steak Tuna Pepper,35000
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,Barat,Steak Tuna Mushroom,35000
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,Barat,Steak Dori Crispy,30000
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,Aneka nasi,Nasi,6000
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,Barat,Kuah Steak,6000
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,Barat,Chicken Drumstick,25000
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,Barat,Spaghetty,20000
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,Barat,Kentang Lokal,13000
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,Barat,Frenchfries,15000
"Abe Steak, Cibubur",Bekasi,-6.283989517,107.0717291,4.1,Makanan,Barat,Chicken Drumstick,25000
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Tas ABUBA ( Max 5 Box ),13200
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Rib Eye Wagyu 4-5,275000
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Rib Eye Wagyu 6-7,344300
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Tenderloin Wagyu,352000
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Sirloin Wagyu 4-5,255200
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Sirloin Wagyu 6-7,337700
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Tenderloin Local,115500
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Tenderloin Nz,168300
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Tenderloin Us,258500
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Sirloin Nz,145200
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Sirloin Us,179300
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Sirloin Lokal,107800
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Rib Eye Nz,145200
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Rib Eye Us,192500
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Lamb Chop Nz,134200
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Battered Dory Fish Regular,88000
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Battered Dory Spicy,88000
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Salmon Steak,141900
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Fish Bite Regular,49500
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Fish Bite Spicy,49500
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,T-Bone Local,129800
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,T-Bone Nz,170500
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Boneless Fried Chicken Regular,77000
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Boneless Fried Chicken Spicy,77000
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Grilled Chicken Steak,77000
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Grilled Chicken Wings,55000
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Chicken Pop Corn Regular,51700
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Chicken Pop Corn Spicy,51700
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Chicken Wings Crush Garlic,62700
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Chicken Wings Crush Hot,62700
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Chicken Pop Corn With Butter Rice,51700
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Spaghetti Bolognese Kids Meal,66000
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Grilled Meatball Vegetable & Potato,51700
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Beef Patty Steak,77000
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Grilled Meatball,49500
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Mix Beef Rice,60500
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Abuba Signature Salad,52800
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Creamy Fun Fries,48400
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Spicy Fun Fries,48400
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Veggie Fruit Salad,36300
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,French Fries Original,29700
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Veggie Fruit Salad With Sesame Dressing,36300
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Beef Lasagna,66000
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Fettuccine Carbonara,66000
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Spaghetti Bolognese,66000
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Sweet Corn,24200
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Mix vegetables,24200
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Potato Wedges,24200
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Mashed Potato,24200
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Mushroom Sauce,13200
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Tartar Sauce,14300
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Blackpepper Sauce,13200
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Barbecue Sauce,13200
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Lychee Popping Boba,33000
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Peach Popping Boba,33000
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Crunchy Vegan Fried Chicken Reg,88000
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Crunchy Vegan Fried Chicken Spicy,88000
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Vegan Beef Mix Rice,93500
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Vegan Beef Steak,110000
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Vegan Chi-Pop,66000
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Vegan Chic Mix Rice,99000
"Abuba Steak, Cikarang",Bekasi,-6.343375688,107.1541289,4.8,Makanan,Barat,Vegan Chicken Steak,88000
Arangsimpur,Tangerang,-6.248792885,106.6231823,4.8,Makanan,Chinese,Tiam MIE,34000
Arangsimpur,Tangerang,-6.248792885,106.6231823,4.8,Makanan,Chinese,TiamMie,39000
Arangsimpur,Tangerang,-6.248792885,106.6231823,4.8,Makanan,Chinese,Nasi Goreng Sapi,48000
Arangsimpur,Tangerang,-6.248792885,106.6231823,4.8,Makanan,Chinese,Kwetiaw Sapi,48000
Arangsimpur,Tangerang,-6.248792885,106.6231823,4.8,Makanan,Chinese,Telur  CEPLOK,6000
Arangsimpur,Tangerang,-6.248792885,106.6231823,4.8,Makanan,Chinese,Kwetiaw Kengci,29000
Ayam Trolok,Bogor,-6.637020233,106.8298389,4.6,Makanan,Ayam & bebek,Ayam Full,100000
Ayam Trolok,Bogor,-6.637020233,106.8298389,4.6,Makanan,Aneka nasi,Nasi,6000
Ayam Trolok,Bogor,-6.637020233,106.8298389,4.6,Makanan,Ayam & bebek,Ayam Dada,25000
Ayam Trolok,Bogor,-6.637020233,106.8298389,4.6,Makanan,Ayam & bebek,Ayam Paha,25000
Ayam Trolok,Bogor,-6.637020233,106.8298389,4.6,Makanan,Ayam & bebek,Kepala Ayam,6000
Ayam Trolok,Bogor,-6.637020233,106.8298389,4.6,Makanan,Ayam & bebek,Ceker Ayam,6000
Ayam Trolok,Bogor,-6.637020233,106.8298389,4.6,Makanan,Ayam & bebek,Ati Ampela Ayam,6000
Ayam Trolok,Bogor,-6.637020233,106.8298389,4.6,Makanan,Ayam & bebek,Usus Ayam,7500
Ayam Trolok,Bogor,-6.637020233,106.8298389,4.6,Makanan,Ayam & bebek,Ati Ampela Bebek,12000
Ayam Trolok,Bogor,-6.637020233,106.8298389,4.6,Makanan,Ayam & bebek,Paha Bebek,36000
Ayam Trolok,Bogor,-6.637020233,106.8298389,4.6,Makanan,Ayam & bebek,Kepala Bebek,12000
Ayam Trolok,Bogor,-6.637020233,106.8298389,4.6,Makanan,Ayam & bebek,Dada Bebek,36000
Ayam Trolok,Bogor,-6.637020233,106.8298389,4.6,Makanan,Ayam & bebek,Tempe,4000
Ayam Trolok,Bogor,-6.637020233,106.8298389,4.6,Makanan,Ayam & bebek,Tahu,4000
Ayam Trolok,Bogor,-6.637020233,106.8298389,4.6,Makanan,Ayam & bebek,Pete,12000
Ayam Trolok,Bogor,-6.637020233,106.8298389,4.6,Makanan,Ayam & bebek,Peyek,9000
Ayam Trolok,Bogor,-6.637020233,106.8298389,4.6,Makanan,Ayam & bebek,Kulit Ayam,7500
BABAKARAN BUNDA DAFA,Jakarta Utara,-6.137077266,106.8378145,NAN,Makanan,Jajanan,Sosis Kecil Bakar/ Goreng,6000
BABAKARAN BUNDA DAFA,Jakarta Utara,-6.137077266,106.8378145,NAN,Makanan,Jajanan,Sosis Bakar/Goreng Jumbo,20000
BABAKARAN BUNDA DAFA,Jakarta Utara,-6.137077266,106.8378145,NAN,Makanan,Jajanan,Sosis Bakar/Goreng Sedang Keju,15000
BABAKARAN BUNDA DAFA,Jakarta Utara,-6.137077266,106.8378145,NAN,Makanan,Jajanan,Sosis Bakar/goreng Sedang Lada Hitam,15000
BABAKARAN BUNDA DAFA,Jakarta Utara,-6.137077266,106.8378145,NAN,Makanan,Jajanan,Sosis Bakar/goreng Sedang Original,15000
BABAKARAN BUNDA DAFA,Jakarta Utara,-6.137077266,106.8378145,NAN,Makanan,Jajanan,lobster Bakar/goreng,15000
BABAKARAN BUNDA DAFA,Jakarta Utara,-6.137077266,106.8378145,NAN,Makanan,Jajanan,Cikuwa Bakar/goreng,15000
BABAKARAN BUNDA DAFA,Jakarta Utara,-6.137077266,106.8378145,NAN,Makanan,Jajanan,Dampling Cheese Bakar/goreng,15000
BABAKARAN BUNDA DAFA,Jakarta Utara,-6.137077266,106.8378145,NAN,Makanan,Jajanan,Bakso Bakar/Goreng,15000
BABAKARAN BUNDA DAFA,Jakarta Utara,-6.137077266,106.8378145,NAN,Makanan,Jajanan,bola Udang Bakar/Goreng,15000
BABAKARAN BUNDA DAFA,Jakarta Utara,-6.137077266,106.8378145,NAN,Makanan,Jajanan,CrabStik bakar,7000
BABAKARAN BUNDA DAFA,Jakarta Utara,-6.137077266,106.8378145,NAN,Makanan,Jajanan,Skelep Bakar/Goreng,15000
BABAKARAN BUNDA DAFA,Jakarta Utara,-6.137077266,106.8378145,NAN,Makanan,Jajanan,Baso Ikan bakar/goreng,15000
BABAKARAN BUNDA DAFA,Jakarta Utara,-6.137077266,106.8378145,NAN,Makanan,Jajanan,Bakso Salmon Bakar/Goreng,15000
BABAKARAN BUNDA DAFA,Jakarta Utara,-6.137077266,106.8378145,NAN,Makanan,Jajanan,Otak-otak Singapur Bakar/goreng,20000
BABAKARAN BUNDA DAFA,Jakarta Utara,-6.137077266,106.8378145,NAN,Makanan,Jajanan,Otak-otak Bakar/goreng,7000
BABAKARAN BUNDA DAFA,Jakarta Utara,-6.137077266,106.8378145,NAN,Makanan,Jajanan,udang bakar/Goreng,9000
BABAKARAN BUNDA DAFA,Jakarta Utara,-6.137077266,106.8378145,NAN,Makanan,Jajanan,Maklor ( Makaroni Telur),15000
BABAKARAN BUNDA DAFA,Jakarta Utara,-6.137077266,106.8378145,NAN,Makanan,Jajanan,Cireng,15000
BABAKARAN BUNDA DAFA,Jakarta Utara,-6.137077266,106.8378145,NAN,Makanan,Jajanan,Tokoyaki  isi 5,12000
BABAKARAN BUNDA DAFA,Jakarta Utara,-6.137077266,106.8378145,NAN,Makanan,Jajanan,Telur Gulung Original,20000
BABAKARAN BUNDA DAFA,Jakarta Utara,-6.137077266,106.8378145,NAN,Makanan,Jajanan,Cilor Tusuk,13000
